engagement_id,client_id,service_type,partner_assigned,start_date,end_date
1,49,IT Advisory,Partner G,2023-08-08,
2,45,Management Consulting,Partner E,2023-12-01,2024-02-28
3,34,Risk Assessment,Partner H,2023-11-24,2024-05-11
4,54,IT Advisory,Partner D,2023-08-24,2024-01-14
5,8,Management Consulting,Partner B,2024-03-03,2024-10-26
6,56,Risk Assessment,Partner A,2023-10-10,2023-12-30
7,52,Audit,Partner H,2023-02-09,
8,31,Risk Assessment,Partner H,2024-01-18,2024-09-18
9,45,Audit,Partner F,2023-10-15,2023-12-17
10,32,Tax Advisory,Partner A,2023-11-14,
11,17,Risk Assessment,Partner C,2023-10-10,2024-03-05
12,48,IT Advisory,Partner A,2023-10-04,
13,15,Risk Assessment,Partner A,2023-02-15,2023-05-17
14,19,IT Advisory,Partner B,2023-10-07,
15,32,IT Advisory,Partner E,2024-02-02,2024-10-11
16,51,Tax Advisory,Partner A,2023-06-01,2024-02-14
17,24,Audit,Partner H,2023-10-29,2023-12-24
18,30,Audit,Partner D,2023-01-16,2023-09-07
19,3,Tax Advisory,Partner C,2023-06-23,2023-08-03
20,7,Audit,Partner E,2023-08-07,2024-02-22
21,4,Management Consulting,Partner G,2024-05-06,2024-12-14
22,5,IT Advisory,Partner C,2023-04-18,2023-12-07
23,53,Risk Assessment,Partner A,2023-05-19,2023-07-31
24,51,Management Consulting,Partner A,2023-07-24,2024-03-14
25,50,Risk Assessment,Partner G,2024-05-11,2024-06-27
26,4,Risk Assessment,Partner A,2024-03-02,2024-07-24
27,5,Risk Assessment,Partner F,2023-01-18,2023-05-30
28,17,Management Consulting,Partner D,2023-04-27,2023-07-31
29,34,Tax Advisory,Partner G,2024-02-15,2024-03-11
30,21,Risk Assessment,Partner A,2023-01-30,2023-08-23
31,30,Tax Advisory,Partner H,2024-03-03,2024-06-11
32,11,Management Consulting,Partner F,2023-05-21,2023-11-15
33,44,Audit,Partner D,2024-04-03,2024-07-30
34,19,IT Advisory,Partner B,2023-05-27,2023-09-13
35,4,IT Advisory,Partner H,2023-08-06,2024-03-25
36,45,Audit,Partner C,2023-11-27,2024-01-08
37,55,Tax Advisory,Partner D,2023-03-05,2023-09-17
38,1,Management Consulting,Partner D,2023-10-06,2024-04-22
39,27,Management Consulting,Partner B,2023-09-10,2023-12-30
40,50,Risk Assessment,Partner D,2024-01-27,2024-04-18
41,43,Tax Advisory,Partner B,2024-05-13,2024-06-03
42,52,Risk Assessment,Partner A,2023-11-29,2024-07-30
43,25,Management Consulting,Partner C,2023-07-24,2024-03-27
44,23,Risk Assessment,Partner A,2023-07-23,2023-10-08
45,43,Tax Advisory,Partner D,2023-07-28,2023-08-24
46,10,Audit,Partner G,2024-02-12,2024-04-01
47,15,Audit,Partner B,2023-06-10,2023-07-16
48,37,Tax Advisory,Partner A,2023-03-25,2023-10-30
49,41,Risk Assessment,Partner A,2023-06-17,2024-02-06
50,8,Audit,Partner E,2023-01-12,2023-03-09
51,31,Tax Advisory,Partner C,2023-02-23,2023-09-10
52,22,Audit,Partner D,2023-02-15,2023-04-19
53,31,Risk Assessment,Partner A,2024-01-21,2024-05-08
54,58,IT Advisory,Partner C,2023-12-28,2024-06-08
55,5,IT Advisory,Partner D,2023-12-15,2024-06-24
56,60,IT Advisory,Partner D,2023-08-19,2024-04-04
57,27,IT Advisory,Partner E,2023-12-25,
58,47,IT Advisory,Partner G,2023-03-22,2023-05-28
59,26,Audit,Partner D,2024-03-26,
60,19,Risk Assessment,Partner G,2023-09-08,2023-12-11
61,47,IT Advisory,Partner E,2024-04-14,2024-12-29
62,42,IT Advisory,Partner C,2023-03-18,2023-10-10
63,9,Tax Advisory,Partner B,2023-09-06,2023-12-11
64,43,Risk Assessment,Partner C,2023-12-15,2024-08-24
65,46,Tax Advisory,Partner E,2023-09-05,2024-01-22
66,24,Audit,Partner B,2023-08-12,2023-12-30
67,56,Risk Assessment,Partner H,2023-03-25,2023-07-27
68,39,Tax Advisory,Partner D,2023-07-10,2023-09-02
69,21,Audit,Partner G,2023-04-30,2023-12-30
70,1,IT Advisory,Partner F,2023-05-31,
71,41,Tax Advisory,Partner C,2023-12-08,2024-02-07
72,13,Risk Assessment,Partner B,2023-11-12,2024-01-26
73,46,Management Consulting,Partner F,2023-10-31,2024-01-26
74,32,Audit,Partner C,2023-06-30,2023-08-20
75,29,Risk Assessment,Partner B,2024-04-24,2024-05-18
76,10,Management Consulting,Partner H,2023-02-13,2023-08-14
77,43,Tax Advisory,Partner D,2023-06-21,2024-02-28
78,10,IT Advisory,Partner A,2023-03-01,2023-04-19
79,26,Management Consulting,Partner D,2023-06-19,2023-09-18
80,51,Audit,Partner D,2024-04-25,2024-09-13
81,56,IT Advisory,Partner G,2023-07-03,2024-03-01
82,60,Management Consulting,Partner F,2024-03-30,
83,58,IT Advisory,Partner B,2023-09-05,
84,34,Risk Assessment,Partner B,2023-12-16,
85,13,IT Advisory,Partner E,2023-08-17,2023-12-15
86,51,IT Advisory,Partner A,2023-05-13,2023-07-19
87,49,Tax Advisory,Partner C,2024-01-18,2024-09-01
88,60,Tax Advisory,Partner B,2024-04-29,2024-11-27
89,40,Management Consulting,Partner A,2023-05-12,2023-06-07
