time_entry_id,engagement_id,entry_date,hours,billable
1,201,2024-08-02,2.7,True
2,220,2024-08-15,2.3,True
3,89,2023-02-09,6.3,True
4,95,2023-04-02,6.5,True
5,134,2023-07-28,12.2,True
6,95,2024-06-16,10.7,True
7,62,2023-02-24,4.5,True
8,156,2023-02-28,2.1,True
9,100,2023-01-23,4.0,True
10,208,2023-05-15,,True
11,49,2024-10-05,4.3,True
12,98,2024-05-19,3.3,True
13,117,2024-05-16,5.9,True
14,200,2023-07-24,3.5,False
15,128,2024-03-13,3.2,True
16,16,2024-06-29,6.2,True
17,75,2024-01-08,3.7,True
18,195,2024-08-22,5.9,True
19,60,2024-02-03,6.0,True
20,75,2023-08-16,2.2,True
21,34,2024-03-23,3.5,True
22,159,2024-10-22,13.6,True
23,31,2024-08-01,2.2,True
24,81,2023-12-15,1.1,False
25,157,2024-02-22,1.3,True
26,198,2024-11-14,5.1,True
27,49,2024-06-08,5.1,True
28,74,2023-12-18,4.6,True
29,26,2023-07-16,11.6,True
30,97,2024-09-26,0.8,True
31,220,2024-11-14,6.5,True
32,67,2023-02-19,14.8,True
33,58,2023-01-23,2.2,True
34,88,2023-03-22,3.8,True
35,198,2023-09-28,2.9,True
36,121,2023-04-22,2.6,True
37,135,2024-09-09,3.9,True
38,172,2024-10-01,13.5,True
39,158,2023-05-07,17.9,True
40,132,2024-08-03,3.9,False
41,124,2023-04-09,18.8,True
42,118,2024-07-05,5.1,True
43,40,2023-09-13,16.9,True
44,92,2023-01-29,4.6,True
45,187,2023-10-27,5.4,True
46,9,2024-07-29,84.6,True
47,183,2024-10-15,40.0,True
48,125,2023-03-26,9.0,False
49,77,2024-08-08,,True
50,26,2023-07-25,9.8,True
51,169,2023-11-21,3.8,True
52,1,2023-03-18,3.5,True
53,120,2024-11-12,9.4,True
54,36,2024-07-07,5.1,True
55,200,2024-03-25,6.0,True
56,41,2024-05-23,,True
57,177,2024-09-03,6.3,True
58,127,2023-04-11,6.7,True
59,10,2023-06-22,1.3,True
60,159,2023-01-27,7.9,True
61,194,2023-12-09,2.5,True
62,49,2023-12-12,1.8,True
63,214,2023-01-21,4.8,True
64,176,2024-04-08,5.3,False
65,164,2023-01-07,3.0,True
66,74,2024-07-09,8.9,True
67,27,2024-05-08,1.9,False
68,95,2024-07-24,,False
69,178,2023-03-24,3.3,True
70,130,2024-09-01,4.8,True
71,143,2024-01-19,104.8,True
72,172,2024-08-27,2.4,False
73,75,2024-05-02,8.2,True
74,9,2024-04-04,5.2,True
75,195,2023-01-23,1.3,True
76,135,2024-04-29,1.3,False
77,125,2023-11-11,4.9,True
78,127,2024-08-17,,True
79,188,2024-04-23,4.6,True
80,170,2023-02-22,4.9,True
81,148,2024-09-14,5.8,True
82,173,2023-02-14,9.6,True
83,64,2023-07-29,2.3,True
84,157,2023-06-01,2.2,True
85,215,2024-11-12,,True
86,52,2023-04-18,6.1,True
87,126,2024-08-14,11.8,True
88,150,2023-06-05,3.7,True
89,114,2024-03-31,0.9,False
90,214,2023-03-05,1.5,True
91,89,2023-10-02,2.8,False
92,48,2024-03-12,3.4,True
93,30,2024-05-12,3.7,True
94,187,2024-09-02,5.1,True
95,151,2024-07-25,4.0,True
96,128,2023-12-30,10.3,True
97,95,2023-08-01,3.1,True
98,91,2023-07-02,2.7,True
99,206,2024-11-25,6.9,True
100,150,2024-03-01,1.7,True
101,213,2024-09-28,6.5,True
102,177,2023-10-31,5.3,True
103,169,2023-12-06,4.5,False
104,122,2024-08-01,15.1,True
105,54,2024-05-20,3.2,True
106,144,2023-05-21,21.0,True
107,158,2024-01-02,4.2,False
108,115,2023-05-30,,True
109,5,2024-06-16,5.2,True
110,212,2023-01-21,2.3,True
111,182,2024-08-01,60.4,True
112,78,2024-10-12,6.5,True
113,109,2023-01-17,7.3,True
114,28,2024-03-17,3.2,True
115,207,2023-02-25,9.9,True
116,51,2023-09-10,11.1,False
117,84,2023-08-24,13.5,True
118,95,2023-12-30,7.2,True
119,58,2024-10-04,,True
120,140,2023-11-20,1.3,True
121,219,2023-10-06,4.0,True
122,189,2023-03-06,2.7,True
123,117,2024-09-13,5.4,True
124,29,2023-08-09,3.3,True
125,190,2023-11-20,4.4,True
126,57,2023-03-06,18.5,True
127,201,2023-07-22,4.4,True
128,87,2024-01-23,6.6,True
129,115,2024-09-22,4.2,True
130,97,2023-08-19,,True
131,101,2024-01-28,5.0,True
132,37,2024-09-04,6.8,True
133,122,2023-09-10,11.2,True
134,89,2023-07-26,15.7,False
135,187,2023-02-01,6.2,True
136,105,2024-09-27,7.5,True
137,213,2023-03-19,2.2,True
138,66,2023-05-31,4.7,True
139,73,2023-04-08,9.6,True
140,9,2024-05-10,9.1,True
141,163,2023-09-13,,True
142,17,2024-05-08,9.2,True
143,63,2024-03-01,7.0,True
144,201,2023-01-11,11.5,True
145,135,2023-08-04,6.1,False
146,123,2023-01-03,3.9,True
147,178,2023-02-15,6.3,True
148,170,2023-11-28,0.6,True
149,196,2023-07-05,6.5,True
150,147,2023-03-04,0.4,True
151,99,2023-10-14,1.5,False
152,29,2023-11-13,6.8,False
153,82,2024-11-25,6.9,True
154,156,2024-04-08,2.2,True
155,56,2023-10-03,3.0,True
156,148,2023-11-28,12.9,True
157,30,2023-03-04,3.5,True
158,14,2023-09-28,23.8,True
159,81,2024-02-11,,True
160,51,2023-01-15,6.6,True
161,192,2024-10-05,15.4,True
162,84,2023-12-27,5.4,True
